FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) ESTIMATED DTG OF START; ; ;CURRENT / CURRENT;2033/050;14;AN
2 M;(NU) ESTIMATED DTG OF STOP; ; ;CURRENT / CURRENT;2033/051;14;AN
