FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) LINE REFERENCE NUMBER;1;LN; ; ;CURRENT / CURRENT;1348/003;2;N;R
2 M;(NU) INTERNATIONAL MARITIME DANGEROUS GOODS INDICATOR;4;IMDG; ; ;CURRENT / CURRENT;1199/001;1-3;NS;R
3 C;(NU) IMDG COMPATIBILITY INDICATOR;9;COMPAT; ; ;CURRENT / CURRENT;1193/001;1;A;L
4 C;(NU) NET EXPLOSIVE QUANTITY;16;NEQ; ; ;CURRENT / CURRENT;1194/003;1-5;N;R
