FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NO EARLIER THAN DTG; ; ;CURRENT / CURRENT;2033/027;14;AN
2 M;(NU) NO LATER THAN DTG; ; ;CURRENT / CURRENT;2033/028;14;AN
