FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DAY-TIME ON TARGET; ;A;CURRENT / CURRENT;2000/085;7;AN
;(NU) DTG ON TARGET; ;B;CURRENT / CURRENT;2033/049;14;AN
* 2 O;(NU) DAY-TIME SENSOR ON; ; ;CURRENT / CURRENT;2000/083;7;AN
* 3 C;(NU) DAY-TIME SENSOR OFF; ; ;CURRENT / CURRENT;2000/084;7;AN
