FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) ENDURABLE HEAD SEAS; ; ;CURRENT / CURRENT;2132/003;2-5;AN
2 M;(NU) ENDURABLE ABEAM SEAS; ; ;CURRENT / CURRENT;2132/004;2-5;AN
3 M;(NU) ENDURABLE FOLLOWING SEAS; ; ;CURRENT / CURRENT;2132/005;2-5;AN
4 M;(NU) TRUE WIND SPEED IN KNOTS; ; ;CURRENT / CURRENT;1061/018;2;N
