FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) ROUTE SECTION ALPHABETIC IDENTIFIER; ; ;CURRENT / CURRENT;1246/064;1;A
2 M;(NU) SPEED OF ADVANCE IN KNOTS; ; ;CURRENT / CURRENT;1061/009;1-4;NS
3 O;(NU) RECTANGULAR MOVING HAVEN DIMENSIONS, NM; ; ;CURRENT / CURRENT;2214/001;5-10;NS
4 O;(NU) MERCO TRACK/ROUTE TYPE; ; ;CURRENT / CURRENT;1372/004;5-8;A
