FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) LINK CRYPTOGRAPHIC EQUIPMENT; ; ;CURRENT / CURRENT;1135/022;4-9;X
2 M;(NU) CRYPTO KEYING MATERIAL; ; ;CURRENT / CURRENT;1078/004;8-10;AN
