FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DIRECTION OF WIND, DEGREES MAGNETIC; ; ;CURRENT / CURRENT;1804/005;3;N
2 M;(NU) WIND SPEED, KTS OR MPS; ; ;CURRENT / CURRENT;2477/002;4-7;ANS
