FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) FIRST SELECTED PROJECTILE; ; ;CURRENT / CURRENT;1560/003;3;A
2 O;(NU) SECOND SELECTED PROJECTILE; ; ;CURRENT / CURRENT;1560/004;3;A
