FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) TERRAIN/TOPOGRAPHY  DESCRIPTION; ; ;CURRENT / CURRENT;1289/005;3-6;A
2 M;(NU) VEGETATION DESCRIPTION; ; ;CURRENT / CURRENT;1206/002;3-5;A
