FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) RESERVATION START TIME; ; ;CURRENT / CURRENT;1072/024;1-4;NS
2 M;(NU) RESERVATION STOP TIME; ; ;CURRENT / CURRENT;1072/025;1-4;NS
