FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) ACE UIC; ; ;CURRENT / CURRENT;2141/005;7-9;AN
2 M;(NU) UNIT EFFECTIVENESS PERCENTAGE; ; ;CURRENT / CURRENT;1064/008;1-3;N
