FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) ASW PLAN TYPE; ; ;CURRENT / CURRENT;1146/008;3-5;A
2 M;(NU) ASW COORDINATING UNITS; ; ;CURRENT / CURRENT;1544/002;15-17;AB
* 3 M;(NU) ASW PLAN DESIGNATOR; ; ;CURRENT / CURRENT;1146/009;2-7;ANB
