FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
* 1 M;(NU) ANTI-TANK MINE TYPE;AT;A;CURRENT / CURRENT;1210/005;1-15;X
;(NU) ANTI-PERSONNEL MINE TYPE;AP;B;CURRENT / CURRENT;1210/006;1-15;X
* 2 M;(NU) NUMBER, 1-9999999; ; ;CURRENT / CURRENT;1044/358;1-7;N
