FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) TYPE OF RADIO EQUIPMENT;1;TYPE; ; ;CURRENT / CURRENT;1135/017;7-10;A;L
2 M;(NU) NUMBER OF ITEMS OF RADIO EQUIPMENT;12;NO; ; ;CURRENT / CURRENT;1044/231;1-2;N;R
3 M;(NU) TRANSMISSION BAND;15;BAND; ; ;CURRENT / CURRENT;1175/003;2-3;A;L
4 M;(NU) DESIGNATION OF EMISSIONS;20;EMISSION; ;A;CURRENT / CURRENT;1621/001;3;AN;L
;(NU) CRYSTAL RADIO CODE;null;EMISSION; ;B;CURRENT / CURRENT;1181/005;4;A;L
5 M;(NU) FREQUENCY SEPARATION, KILOHERTZ OR MEGAHERTZ;29;FREQ-SEP; ;A;CURRENT / CURRENT;2385/005;4-14;ANS;R
;(NU) FREQUENCY SEPARATION IN PERCENTAGE;null;FREQ-SEP;PCT;B;CURRENT / CURRENT;1064/034;1-2;N;R
6 M;(NU) FREQUENCY LIMITATION, KILOHERTZ OR MEGAHERTZ;44;FREQ-LIM; ;A;CURRENT / CURRENT;2385/006;4-14;ANS;R
;(NU) BAND LIMITATIONS;null;FREQ-LIM; ;B;CURRENT / CURRENT;2377/001;5-10;ANS;L
