FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) REFERENCE NUMBER;1;REF; ; ;CURRENT / CURRENT;1348/002;1-6;X;L
2 M;(NU) TYPE OF CHAFF;8;TYPE; ; ;CURRENT / CURRENT;1652/001;1-6;AN;L
3 O;(NU) LOWER RADIO FREQUENCY LIMIT;15;LOW-RF-LIM; ;A;CURRENT / CURRENT;2383/005;3-11;ANS;R
;(NU) LOWER FREQUENCY LIMIT IN MEGAHERTZ;null;LOW-RF-LIM;MHZ;B;CURRENT / CURRENT;1068/005;1-8;NS;L
4 C;(NU) UPPER RADIO FREQUENCY LIMIT;28;UPP-RF-LIM; ;A;CURRENT / CURRENT;2383/006;3-11;ANS;R
;(NU) UPPER FREQUENCY LIMIT IN MEGAHERTZ;null;UPP-RF-LIM;MHZ;B;CURRENT / CURRENT;1068/006;1-8;NS;L
5 O;(NU) BOUNDARY LOWER LIMIT, FLIGHT LEVEL;41;LOW-ALT; ; ;CURRENT / CURRENT;2129/005;5;AN;L
6 C;(NU) BOUNDARY UPPER LIMIT, FLIGHT LEVEL;49;UPP-ALT; ; ;CURRENT / CURRENT;2129/006;5;AN;L
7 O;(NU) MECHANICAL JAMMING TECHNIQUE;57;MEC-JAM; ; ;CURRENT / CURRENT;1643/002;5-8;A;L
