FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) ENGINEER TASK NUMBER; ; ;CURRENT / CURRENT;1012/131;1-10;X
2 O;(NU) ENGINEER TASK NICKNAME; ; ;CURRENT / CURRENT;1022/164;1-21;X
