FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) TYPE OF DIVING OPERATION; ; ;CURRENT / CURRENT;1134/006;3-16;AB
2 M;(NU) ESTIMATED DIVING OPERATION DURATION IN HOURS; ; ;CURRENT / CURRENT;1047/016;2;N
