FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) ESTIMATED DTG EFFECTIVE FROM; ; ;CURRENT / CURRENT;2033/052;14;AN
2 C;(NU) ESTIMATED DTG EFFECTIVE TO; ; ;CURRENT / CURRENT;2033/053;14;AN
