FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DEFENCE SYSTEM; ; ;CURRENT / CURRENT;1407/011;3;A
* 2 M;(NU) THREAT NAME; ; ;CURRENT / CURRENT;1022/146;3-50;X
