FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 O;(NU) MISSION FIRED INDICATOR; ; ;CURRENT / CURRENT;1553/003;3;A
2 O;(NU) TARGET CONFIRMATION STATUS; ; ;CURRENT / CURRENT;1268/004;3;A
