FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) TOTAL CONTACT TIME IN HOURS; ; ;CURRENT / CURRENT;1383/002;3-4;NS
2 O;(NU) DIRECT PATH CONTACT TIME IN HOURS; ; ;CURRENT / CURRENT;1383/007;3-4;NS
3 O;(NU) BOTTOM BOUNCE CONTACT TIME IN HOURS; ; ;CURRENT / CURRENT;1383/008;3-4;NS
4 O;(NU) CONVERGENCE ZONE CONTACT TIME IN HOURS; ; ;CURRENT / CURRENT;1383/009;3-4;NS
