FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SUBUNIT TYPE; ; ;CURRENT / CURRENT;1311/007;1-15;X
2 M;(NU) NUMBER, 1-99; ; ;CURRENT / CURRENT;1044/293;1-2;N
