FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 O;(NU) DTG MOVEMENT TO START; ; ;CURRENT / CURRENT;2033/047;14;AN
2 O;(NU) DTG MOVEMENT TO END; ; ;CURRENT / CURRENT;2033/048;14;AN
