FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SCREEN LOCATION; ; ;CURRENT / CURRENT;1427/003;5;A
* 2 M;(NU) UNIT; ; ;CURRENT / CURRENT;1022/057;1-30;X
