FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CLASS OF SUPPLY; ; ;CURRENT / CURRENT;1231/001;2;N
2 O;(NU) DESCRIPTION OF SUPPLIES; ; ;CURRENT / CURRENT;1357/017;1-68;X
