FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) STAGE OF CONFIRMATION;1;PLAN; ; ;CURRENT / CURRENT;1268/001;3-4;A;L
2 M;(NU) COMMUNICATIONS LINK TYPE;6;CBT; ; ;CURRENT / CURRENT;1275/001;2-4;A;L
3 M;(NU) QUANTITY OF EQUIPMENT;11;QTY; ; ;CURRENT / CURRENT;1044/179;1-2;N;R
4 M;(NU) COMMUNICATION TRAFFIC TYPE;15;CTT; ; ;CURRENT / CURRENT;1275/003;3-4;A;L
5 M;(NU) LINK STATUS;20;STATUS; ; ;CURRENT / CURRENT;1138/005;3-6;A;L
6 M;(NU) NATO SECURITY CLASSIFICATION, ABBREVIATED;27;NSC; ; ;CURRENT / CURRENT;1288/002;2-6;AB;L
7 M;(NU) SPECIAL HANDLING MARKINGS;34;SHM; ; ;CURRENT / CURRENT;1101/002;6-15;AB;L
8 C;(NU) FREQUENCY SPECTRUM DESIGNATOR;50;FSD; ; ;CURRENT / CURRENT;1175/001;2-6;AS;L
