FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) FLAG;1;FLAG; ; ;CURRENT / CURRENT;1026/003;2;A;L
2 M;(NU) UNIT NAME;6;NAME OR TASK DESIG; ;A;CURRENT / CURRENT;1022/048;1-38;X;L
;(NU) NAVAL TASK DESIGNATOR;null;NAME OR TASK DESIG;NTD;B;CURRENT / CURRENT;2143/002;3-15;ANS;L
3 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, DEGREES, VERIFIED;45;LOCATION; ;A;CURRENT / CURRENT;2042/001;10;ANS;L
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED;null;LOCATION; ;B;CURRENT / CURRENT;2043/001;14;ANS;L
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED;null;LOCATION; ;C;CURRENT / CURRENT;2044/001;18;ANS;L
;(NU) LOCATION NAME;null;LOCATION;LOC;D;CURRENT / CURRENT;1022/004;1-20;X;L
;(NU) PLACE NAME;null;LOCATION;PLA;E;CURRENT / CURRENT;1022/170;1-20;X;L
