FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) APPROACH VEGETATION RIGHT BANK; ; ;CURRENT / CURRENT;1206/004;1;A
2 M;(NU) APPROACH VEGETATION LEFT BANK; ; ;CURRENT / CURRENT;1206/003;1;A
