FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NUMBER OF DEPLOYMENTS STARTING IN NEXT 24 HOURS; ; ;CURRENT / CURRENT;1044/314;1-3;N
2 M;(NU) NUMBER OF DEPLOYMENTS STARTING IN NEXT 48 HOURS; ; ;CURRENT / CURRENT;1044/315;1-3;N
