FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
* 1 M;(NU) ARTILLERY FUZE TYPE; ; ;CURRENT / CURRENT;1192/003;2-3;A
* 2 M;(NU) NUMBER OF FUZES; ; ;CURRENT / CURRENT;1044/274;1-4;N
