FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) UNIT DESIGNATION NAME; ; ;CURRENT / CURRENT;1022/039;1-15;ANS
2 M;(NU) VERIFIED UNIT SIZE INDICATOR; ; ;CURRENT / CURRENT;2392/001;2-8;AS
3 M;(NU) VERIFIED NATIONALITY; ; ;CURRENT / CURRENT;2082/001;3;AS
4 M;(NU) VERIFIED UNIT ROLE INDICATOR CODE 'A'; ; ;CURRENT / CURRENT;2393/001;3-7;AS
5 M;(NU) BOUNDARY UNIT LEVEL INDICATOR; ; ;CURRENT / CURRENT;1045/007;1-6;A
6 M;(NU) UNIT DESIGNATION NAME; ; ;CURRENT / CURRENT;1022/039;1-15;ANS
7 M;(NU) VERIFIED UNIT SIZE INDICATOR; ; ;CURRENT / CURRENT;2392/001;2-8;AS
8 M;(NU) VERIFIED NATIONALITY; ; ;CURRENT / CURRENT;2082/001;3;AS
9 M;(NU) VERIFIED UNIT ROLE INDICATOR CODE 'A'; ; ;CURRENT / CURRENT;2393/001;3-7;AS
