FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) WARFARE COMMANDER/COORDINATOR; ; ;CURRENT / CURRENT;1543/001;2-4;A
* 2 M;(NU) RESPONSIBILITY OR FUNCTION RETAINED; ; ;CURRENT / CURRENT;1547/002;3-4;N
