FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) AIRLIFT MISSION RESPONSE; ; ;CURRENT / CURRENT;1367/002;6;A
2 C;(NU) EXPLANATION; ; ;CURRENT / CURRENT;1357/003;1-67;X
