FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) UNIT IDENTIFIER;1;UNIT; ; ;CURRENT / CURRENT;1028/001;1-20;X;L
2 O;(NU) NUMBER OF ATTACK SORTIES;22;ATTK; ; ;CURRENT / CURRENT;1044/064;3;N;R
3 O;(NU) NUMBER OF RECONNAISSANCE SORTIES;27;RECCE; ; ;CURRENT / CURRENT;1044/065;3;N;R
4 O;(NU) NUMBER OF AIR DEFENCE SORTIES;33;ADEF; ; ;CURRENT / CURRENT;1044/066;3;N;R
5 O;(NU) NUMBER OF AIRBORNE EARLY WARNING SORTIES;38;AEW; ; ;CURRENT / CURRENT;1044/068;3;N;R
6 O;(NU) NUMBER OF OTHER SORTIES;42;OTH; ; ;CURRENT / CURRENT;1044/100;3;N;R
