FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) ICAO BASE CODE; ; ;CURRENT / CURRENT;1125/002;4;AN
* 2 O;(NU) ICAO ALTERNATE BASE;ALT; ;CURRENT / CURRENT;1125/010;4;AN
