FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) RIGHT INDICATOR; ; ;CURRENT / CURRENT;1027/055;2-3;A
2 M;(NU) LEFT INDICATOR; ; ;CURRENT / CURRENT;1027/056;2-3;A
