FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) LOWER STRENGTH LIMIT; ; ;CURRENT / CURRENT;1044/333;1-4;N
2 M;(NU) UPPER STRENGTH LIMIT; ; ;CURRENT / CURRENT;1044/334;1-4;N
