FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) TERMINAL MODULATION TYPE; ; ;CURRENT / CURRENT;1498/002;4;A
2 M;(NU) SATELLITE TERMINAL ERROR CODING INDICATOR; ; ;CURRENT / CURRENT;1304/003;2-3;A
3 M;(NU) SATELLITE TERMINAL TRANSMIT POWER; ; ;CURRENT / CURRENT;2310/002;2-7;AN
4 M;(NU) SATELLITE TERMINAL DATA RANDOMIZING INDICATOR CODE; ; ;CURRENT / CURRENT;1304/004;2-3;A
5 M;(NU) SATELLITE LOOK ANGLE; ; ;CURRENT / CURRENT;2311/001;14;ANS
6 M;(NU) TELEPHONE NUMBER; ; ;CURRENT / CURRENT;1361/002;1-23;X
7 O;(NU) CONTACT NAME; ; ;CURRENT / CURRENT;1022/007;1-20;X
