FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) LINK CIRCUIT FUNCTION; ; ;CURRENT / CURRENT;1630/001;4-11;A
2 M;(NU) FREQUENCY DESIGNATOR;FD;A;CURRENT / CURRENT;1396/001;1-8;AN
;(NU) CONTROL UNIT DESIGNATOR;CU;B;CURRENT / CURRENT;1028/037;1-8;AN
3 M;(NU) ASSIGNED RADIO FREQUENCY;ASGN; ;CURRENT / CURRENT;2064/021;3-14;ANS
4 O;(NU) COMMUNICATION PRIORITY; ; ;CURRENT / CURRENT;1124/002;1;A
5 O;(NU) DATA LINK EMISSION DESIGNATOR; ; ;CURRENT / CURRENT;1515/016;3;AN
6 O;(NU) FREQUENCY USAGE INDICATOR; ; ;CURRENT / CURRENT;1631/001;1;A
