FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) TYPE OF SCREEN; ; ;CURRENT / CURRENT;1299/014;5-19;AB
2 M;(NU) ORIGIN, LAT/LONG, MINUTES, VERIFIED; ;A;CURRENT / CURRENT;2043/011;14;ANS
;(NU) ORIGIN PLACE NAME;NAME;B;CURRENT / CURRENT;1022/109;1-20;X
* 3 M;(NU) ORIGIN, BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;A;CURRENT / CURRENT;2307/002;10-27;ANBS
;(NU) SECTOR LIMITS, DEGREES AND THOUSANDS OF YARDS; ;B;CURRENT / CURRENT;2333/002;9;NS
;(NU) SCREEN STATION/SECTOR NUMBER;SNO;C;CURRENT / CURRENT;1012/127;1-28;X
* 4 M;(NU) UNIT; ; ;CURRENT / CURRENT;1022/057;1-30;X
