FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CRATER INDICATOR; ; ;CURRENT / CURRENT;1526/001;3-6;A
2 O;(NU) CRATER WIDTH AND UNIT OF MEASUREMENT; ; ;CURRENT / CURRENT;2314/002;2-7;AN
