FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) AZIMUTH OF FIRE IN MILS;1;AZIMUTH; ; ;CURRENT / CURRENT;1048/002;4;N;R
2 M;(NU) AZIMUTH REFERENCE QUALIFIER, GRID, MAGNETIC OR TRUE NORTH;9;REF NORTH; ; ;CURRENT / CURRENT;1024/008;1;A;L
3 M;(NU) ANGLE TO CREST IN MILS POSITIVE OR NEGATIVE;19;ANGLE; ; ;CURRENT / CURRENT;1048/010;1-5;NS;R
4 M;(NU) DISTANCE TO CREST IN KILOMETRES;25;DISTANCE; ; ;CURRENT / CURRENT;1327/006;1-4;NS;R
