FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) TYPE OF ACCESS RIGHT BANK; ; ;CURRENT / CURRENT;1666/005;1-10;X
2 M;(NU) TYPE OF ACCESS LEFT BANK; ; ;CURRENT / CURRENT;1666/006;1-10;X
