FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) AIRCRAFT CATEGORY; ; ;CURRENT / CURRENT;1549/001;2-6;A
* 2 M;(NU) EMPLOYMENT; ; ;CURRENT / CURRENT;1285/012;6-18;AB
