FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) RELEASE AREA DISTANCE AND UNIT OF MEASUREMENT; ; ;CURRENT / CURRENT;2490/003;2-6;AN
2 M;(NU) HAZARD AREA DISTANCE AND UNIT OF MEASUREMENT; ; ;CURRENT / CURRENT;2314/005;2-7;AN
