FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
* 1 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;A;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;B;CURRENT / CURRENT;2086/001;13;AN
* 2 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;A;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;B;CURRENT / CURRENT;2086/001;13;AN
* 3 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;A;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;B;CURRENT / CURRENT;2086/001;13;AN
* 4 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;A;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;B;CURRENT / CURRENT;2086/001;13;AN
