FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) MINIMUM CLEAR WIDTH (FEET, YARDS OR METRES); ; ;CURRENT / CURRENT;2451/009;2-7;ANS
2 M;(NU) ROADWAY WIDTH (FEET, YARDS OR METRES); ; ;CURRENT / CURRENT;2451/004;2-7;ANS
3 M;(NU) GEOGRAPHIC FEATURE SPANNED; ; ;CURRENT / CURRENT;1787/001;1-2;A
4 M;(NU) UNDER BRIDGE CLEARANCE; ; ;CURRENT / CURRENT;2452/004;2-7;ANS
5 C;(NU) DTG OF MEASUREMENT; ; ;CURRENT / CURRENT;2033/075;14;AN
* 6 O;(NU) MINIMUM CLEAR HEIGHT/CLEARANCE; ; ;CURRENT / CURRENT;2452/005;2-7;ANS
