FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NUMBER AND TYPE OF MISSILE; ; ;CURRENT / CURRENT;2512/001;3-34;X
2 M;(NU) WARHEAD TYPE; ; ;CURRENT / CURRENT;1407/043;1-68;X
3 M;(NU) DESCRIPTION OF GUIDANCE SYSTEM; ; ;CURRENT / CURRENT;1363/067;1-68;X
