FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) INTERVAL BETWEEN VOLLEYS IN SECONDS; ; ;CURRENT / CURRENT;1073/006;1-3;N
2 C;(NU) DURATION OF FIRE IN MINUTES; ; ;CURRENT / CURRENT;1072/021;1-3;N
