FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) LINK MANAGEMENT CODEWORD;1;CODE; ; ;CURRENT / CURRENT;1020/010;1-15;X;L
2 M;(NU) LINK MANAGEMENT CODEWORD MEANING;17;MEANING; ; ;CURRENT / CURRENT;1020/011;1-50;X;L
