FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) LOCATION CODE; ; ;CURRENT / CURRENT;1080/001;2-3;AN
2 M;(NU) CURRENT OPERATIONAL BASE STATUS; ; ;CURRENT / CURRENT;1236/002;3;A
3 O;(NU) REASON OPERATIONAL STATUS DEGRADED; ; ;CURRENT / CURRENT;1235/001;2-5;A
4 C;(NU) ESTIMATED DAY-TIME STATUS CHANGE; ; ;CURRENT / CURRENT;2000/007;7;AN
5 C;(NU) PROJECTED OPERATIONAL BASE STATUS; ; ;CURRENT / CURRENT;1236/003;3;A
