FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) TYPE OF CHAFF; ; ;CURRENT / CURRENT;1652/001;1-6;AN
2 O;(NU) LOWER RADIO FREQUENCY LIMIT;LEAFREQ;A;CURRENT / CURRENT;2383/005;3-11;ANS
;(NU) LOWER FREQUENCY PULSES PER SECOND;LFREQ;B;CURRENT / CURRENT;2493/002;4-11;ANS
3 C;(NU) UPPER RADIO FREQUENCY LIMIT;UEAFREQ;A;CURRENT / CURRENT;2383/006;3-11;ANS
;(NU) UPPER FREQUENCY PULSES PER SECOND;UFREQ;B;CURRENT / CURRENT;2493/003;4-11;ANS
4 O;(NU) LOWER FLIGHT LEVEL IN HUNDREDS OF FEET; ; ;CURRENT / CURRENT;1255/010;3;N
5 C;(NU) UPPER FLIGHT LEVEL IN HUNDREDS OF FEET; ; ;CURRENT / CURRENT;1255/009;3;N
6 O;(NU) MECHANICAL JAMMING TECHNIQUES; ; ;CURRENT / CURRENT;1643/004;5-9;A
